site_id;abri_id;abri_typ;url_photo_abri
684;173;Coupelle;https://www.qubs.fr/upload/medias/pxl-20230507-114910534-6457915a1075b079203646.jpg
681;171;Coupelle;https://www.qubs.fr/upload/medias/coupelle-entre-deux-buissons-645787b4cabb8575464647.jpeg
690;175;Planche;https://www.qubs.fr/upload/medias/20230507-165925-6457bd6f5d555119114398.jpg
691;176;Planche;https://www.qubs.fr/upload/medias/20230507-171523-6457c2fe8d13f166467842.jpg
700;181;Coupelle;https://www.qubs.fr/upload/medias/20230508-102331-1-6458b2f3af63a957879622.jpg
712;188;Coupelle;https://www.qubs.fr/upload/medias/coupelle-6459f81846ceb938056805.jpg
721;190;Planche;https://www.qubs.fr/upload/medias/345708232-6104118359637467-720088463707017990-n-645a964048f6b113559136.jpg
294;13;Planche;https://www.qubs.fr/upload/medias/20230428-120751-644b9f1c0e035409554956.jpg
738;204;Coupelle;https://www.qubs.fr/upload/medias/6792a5e3-359d-4b7a-a714-0c0951f29fd2-645bdad5aaf48912713345.jpeg
260;205;Planche;https://www.qubs.fr/upload/medias/img-20230510-180454257-645be820afd8f214771388.jpg
740;206;Coupelle;https://www.qubs.fr/upload/medias/dscf7185-645ca1daf39a0103308207.jpg
745;209;Coupelle;https://www.qubs.fr/upload/medias/16838238643163226866763568368332-645d1d0fe7dad251489177.jpg
733;200;Planche;https://www.qubs.fr/upload/medias/img-20230510-154702-645ba09628892329719557.jpg
749;212;Coupelle;https://www.qubs.fr/upload/medias/coupelle-645de63be8e4f634154466.jpg
763;218;Coupelle;https://www.qubs.fr/upload/medias/dsc-0300-645f5a630f7c4770821382.jpg
776;219;Planche;https://www.qubs.fr/upload/medias/received-5286898204723622-645f7183c64d0447127006.jpeg
261;220;Coupelle;https://www.qubs.fr/upload/medias/img-20230513-120831366-645f75ad269d0716359810.jpg
793;224;Coupelle;https://www.qubs.fr/upload/medias/16840444573755201935489927867147-64607ac544402049614055.jpg
791;229;Coupelle;https://www.qubs.fr/upload/medias/7085ae65-06ab-421e-935e-50cde7e1847f-6460b338e3f3a721542564.jpeg
797;231;Planche;https://www.qubs.fr/upload/medias/16840616031736916089640723085236-6460bdb97ef71472655107.jpg
692;182;Planche;https://www.qubs.fr/upload/medias/20230507-175959-6458b322ded10515766493.jpg
812;234;Coupelle;https://www.qubs.fr/upload/medias/image-6460ea525fae3403771158.jpg
659;201;Planche;https://www.qubs.fr/upload/medias/20230510-141017-645ba3ffc0c88732333728.jpg
660;202;Planche;https://www.qubs.fr/upload/medias/20230509-140605-645ba4929b174722180582.jpg
813;235;Planche;https://www.qubs.fr/upload/medias/20230505-154931-6460ed7990d6f510724056.jpg
835;251;Planche;https://www.qubs.fr/upload/medias/20230505-092820-646208e192c62658530059.jpg
844;254;Planche;https://www.qubs.fr/upload/medias/img-20220508-135437-64621980588f4242320598.jpg
843;252;Planche;https://www.qubs.fr/upload/medias/image-6462185518649405600140.jpg
848;255;Coupelle;https://www.qubs.fr/upload/medias/20230515-135145-64621ed60fe2c507860059.jpg
852;257;Coupelle;https://www.qubs.fr/upload/medias/escargot-6462253ce39af867899608.jpg
580;258;Planche;https://www.qubs.fr/upload/medias/abri1-646247aeb5353720524875.jpg
856;261;Planche;https://www.qubs.fr/upload/medias/abri2-64624d849e549363866335.jpg
864;262;Planche;https://www.qubs.fr/upload/medias/20230515-183127-1-64625f78e6c7e094194943.jpg
863;263;Planche;https://www.qubs.fr/upload/medias/20230515-181627-64626198f3937834689760.jpg
872;267;Planche;https://www.qubs.fr/upload/medias/img-0032-646272a5c686a054931074.jpeg
837;271;Coupelle;https://www.qubs.fr/upload/medias/20230515-161444-64628455dbe29170322341.jpg
878;273;Coupelle;https://www.qubs.fr/upload/medias/b4aa124c-b671-40a4-ab9c-46bc3e280bba-646286a8c6bd2080761594.jpeg
876;272;Coupelle;https://www.qubs.fr/upload/medias/20230515-194300-64628674bb0eb421309580.jpg
887;274;Planche;https://www.qubs.fr/upload/medias/img-20230516-025354-6462d7674e8a2250199873.jpg
890;275;Coupelle;https://www.qubs.fr/upload/medias/abri-escargots-64632ab722d75503191050.jpg
902;277;Coupelle;https://www.qubs.fr/upload/medias/image-6463aa0c0a91e869989719.jpg
912;282;Coupelle;https://www.qubs.fr/upload/medias/16843103436617432468189554978491-646489607b372133389612.jpg
410;283;Coupelle;https://www.qubs.fr/upload/medias/image-64649b934b7f0135604257.jpg
850;256;Planche;https://www.qubs.fr/upload/medias/16841526720051338487734061986529-646221b5ddcf0983121563.jpg
936;287;Coupelle;https://www.qubs.fr/upload/medias/img-8174-6465f4ff08f36340285429.jpg
948;292;Planche;https://www.qubs.fr/upload/medias/planche-1-646622822a400221310210.png
949;293;Planche;https://www.qubs.fr/upload/medias/img-0537-6466254d7910b147712177.jpg
950;299;Planche;https://www.qubs.fr/upload/medias/image-64663e51d8cb5394872199.jpg
956;300;Coupelle;https://www.qubs.fr/upload/medias/img-20230518-185012-6466582a72b01951432278.jpg
959;304;Planche;https://www.qubs.fr/upload/medias/image-6466766742249016408498.jpg
965;307;Planche;https://www.qubs.fr/upload/medias/20230519-141943-646769998ab53444766061.jpg
938;310;Planche;https://www.qubs.fr/upload/medias/img-4332-646866c303db3412165755.jpeg
972;314;Coupelle;https://www.qubs.fr/upload/medias/1684586371361232967959555393726-6468bfd477f53300311439.jpg
998;316;Coupelle;https://www.qubs.fr/upload/medias/img-20210425-172524-646b6688295bf650239027.jpg
792;319;Coupelle;https://www.qubs.fr/upload/medias/e9160401-b057-4de8-ab47-b7443b0444a9-646bafaddc148857230452.jpeg
1013;320;Planche;https://www.qubs.fr/upload/medias/16848612542715403536538953536751-646cf173c7ce3670385766.jpg
1016;323;Coupelle;https://www.qubs.fr/upload/medias/image-646dc8a3d1dc7465888520.jpg
1019;324;Planche;https://www.qubs.fr/upload/medias/16849242281388625496918054090424-646de76fea53a632167641.jpg
1022;325;Planche;https://www.qubs.fr/upload/medias/20230524-143932-1-646e0626de7e0233040777.jpg
1026;327;Planche;https://www.qubs.fr/upload/medias/img-20230515-182237487-646fb7dd92f9e088472868.jpg
1023;328;Planche;https://www.qubs.fr/upload/medias/img-20230526-182841-6470df44c31c5359050608.jpg
1035;329;Coupelle;https://www.qubs.fr/upload/medias/image-6471b5aff402e092025833.jpg
475;87;Coupelle;https://www.qubs.fr/upload/medias/img-20230430-175220-644e90c2b1134326139404.jpg
1037;333;Coupelle;https://www.qubs.fr/upload/medias/16851960959807403126519352387790-64720d650a651078512184.jpg
1038;334;Coupelle;https://www.qubs.fr/upload/medias/16852847852393170154969407897321-64736873ab00e426206430.jpg
1043;338;Planche;https://www.qubs.fr/upload/medias/potager-6475cb5b456eb389974881.jpg
455;76;Planche;https://www.qubs.fr/upload/medias/20230430-140318-644e5bde2e4fb251582471.jpg
582;341;Planche;https://www.qubs.fr/upload/medias/img-1226-64773fd0eb0ed946989604.jpg
572;134;Coupelle;https://www.qubs.fr/upload/medias/img-3730-6450b1bf26a4f569205385.jpeg
1049;343;Planche;https://www.qubs.fr/upload/medias/image-647a29368ab7f410816979.jpg
1053;344;Coupelle;https://www.qubs.fr/upload/medias/escargots-lyon-03-06-2023-abri-camelias-7-647b1bfca030b047393258.jpg
1054;345;Coupelle;https://www.qubs.fr/upload/medias/20230603-140914-647b2ddf5b20b273856874.jpg
1055;346;Coupelle;https://www.qubs.fr/upload/medias/image-6487327-647b2ebfe6010446225259.jpg
645;160;Planche;https://www.qubs.fr/upload/medias/pica0319-64552e473b07d906282867.jpg
407;57;Coupelle;https://www.qubs.fr/upload/medias/16827814069443962558776358034020-644d356d91d8b907850722.jpg
1065;349;Planche;https://www.qubs.fr/upload/medias/image-647f535cb643f908604950.jpg
1066;350;Coupelle;https://www.qubs.fr/upload/medias/pxl-20230130-102741477-647f67dd07837358301226.jpg
1045;340;Planche;https://www.qubs.fr/upload/medias/telechargement-club-biod-6476f65e923ae912238294.jfif
588;352;Planche;https://www.qubs.fr/upload/medias/img-20230507-172915-648198d798cc9592033020.jpg
725;193;Planche;https://www.qubs.fr/upload/medias/p1090078-645aa3e3b86c9696597512.jpg
667;163;Coupelle;https://www.qubs.fr/upload/medias/20230506-114941-6456249cd9c5c928935943.jpg
991;355;Coupelle;https://www.qubs.fr/upload/medias/img-9979-6486d62f42edd038720057.jpg
715;213;Planche;https://www.qubs.fr/upload/medias/img-20230511-174911-645df9ebcdab5879216064.jpg
1080;359;Planche;https://www.qubs.fr/upload/medias/352780755-591382356501640-1501496761547064063-n-6489b3760657e088778310.jpg
1084;361;Planche;https://www.qubs.fr/upload/medias/20230615-183948-648b715884590212838892.jpg
892;285;Planche;https://www.qubs.fr/upload/medias/c44ed87d-daef-4806-bd97-25a7320dc413-6465cfb68be40297010019.jpeg
1088;362;Coupelle;https://www.qubs.fr/upload/medias/image-648f21973bfaf658592108.jpg
1089;363;Planche;https://www.qubs.fr/upload/medias/img-1440-648f59961a20f196105009.jpeg
1095;368;Planche;https://www.qubs.fr/upload/medias/screenshot-2023-05-05-18-42-52-68-99c04817c0de5652397fc8b56c3b3817-6491e20850e1f589772851.jpg
1074;369;Coupelle;https://www.qubs.fr/upload/medias/2023-06-2021-12-047246655061057375784-6491fa20989cb668129589.jpg
1101;377;Coupelle;https://www.qubs.fr/upload/medias/20230622-214916-6494a61e565ec164271279.jpg
1057;378;Planche;https://www.qubs.fr/upload/medias/1687888844973838323681870726355-649b23e40ad82716639101.jpg
1116;379;Coupelle;https://www.qubs.fr/upload/medias/20230626-101109-649c526a9d396788751694.jpg
1091;367;Planche;https://www.qubs.fr/upload/medias/imgp0051-64902d8e06464640990786.jpg
577;136;Coupelle;https://www.qubs.fr/upload/medias/qubs-operation-escargots-2023-site-de-la-coupelle-6450cb1356cbe778160990.jpg
1127;381;Planche;https://www.qubs.fr/upload/medias/img-20230615-133526-64a2ede77da1e977705912.jpg
1140;385;Coupelle;https://www.qubs.fr/upload/medias/image-64abfdfbbfdcf997488698.jpg
1141;386;Planche;https://www.qubs.fr/upload/medias/20230710-105954-64ac177dd53b9012490554.jpg
1135;387;Coupelle;https://www.qubs.fr/upload/medias/20230713-120623-64aff109702af979786725.jpg
933;295;Planche;https://www.qubs.fr/upload/medias/16844193842515966075311635380950-6466334f9ab6c452941124.jpg
1159;389;Planche;https://www.qubs.fr/upload/medias/16894504791427132774180756700792-64b2f816a83ba600172571.jpg
1206;403;Coupelle;https://www.qubs.fr/upload/medias/img-0505-64c927a125851707878570.jpg
730;404;Coupelle;https://www.qubs.fr/upload/medias/pxl-20230807-093007773-64d0bf1ec1a86413516555.jpg
937;406;Coupelle;https://www.qubs.fr/upload/medias/20230814-153910-64da354c8dc07410411835.jpg
1215;408;Coupelle;https://www.qubs.fr/upload/medias/20230814-115032-64db4d146ce29493542464.jpg
1179;391;Planche;https://www.qubs.fr/upload/medias/1690185018080-64be2daaad34e889875605.jpg
1181;393;Planche;https://www.qubs.fr/upload/medias/dsc08079-64bed1c705df6363036881.jpg
1194;395;Planche;https://www.qubs.fr/upload/medias/dsc08077-64bed5a143eac963056645.jpg
1228;410;Coupelle;https://www.qubs.fr/upload/medias/img-20230827-105353-1-64eb35a93be1d327579385.jpg
1201;402;Coupelle;https://www.qubs.fr/upload/medias/img-0001-64c4d91b42a44949739106.jpg
1248;413;Planche;https://www.qubs.fr/upload/medias/planche-a-escargots-65096ef4c2c71548290046.jpg
1250;414;Planche;https://www.qubs.fr/upload/medias/20230920-175140-1-650b15bb55374703207523.jpg
1291;419;Planche;https://www.qubs.fr/upload/medias/1697889944838-6533bf1b3100e223802847.jpeg
1260;420;Planche;https://www.qubs.fr/upload/medias/img-9068-653e6a9b33274768806424.jpeg
1316;423;Coupelle;https://www.qubs.fr/upload/medias/zone-abri-escargot-6543cdff1fb4a014852466.jpg
1318;424;Planche;https://www.qubs.fr/upload/medias/fullsizerender-65464a5958f8b532996398.jpg
1290;417;Coupelle;https://www.qubs.fr/upload/medias/16973740904851307202128829227545-652bdfdbb67a1205425220.jpg
